#{"t_start": 1768626773.088115, "env_id": "None"}
r,l,t
232.137748,392,124.570525
292.825788,301,139.474779
334.670807,241,147.866904
335.256764,241,157.044819
314.096099,271,169.92686
518.911802,21,292.528389
502.463813,6,293.992727
512.485104,15,295.651939
520.327854,23,297.496312
513.683302,16,299.194869
507.946397,9,440.578917
536.021823,25,442.712444
523.742483,18,444.990113
531.682457,23,447.638698
523.878334,17,449.545841
511.462807,13,622.305881
532.401289,27,624.347942
532.029089,27,626.37581
511.34672,13,628.032535
512.408664,13,629.695134
514.717882,13,823.935766
509.096474,10,825.554128
516.486257,13,827.297427
539.766271,23,829.312049
516.657753,13,831.031945
522.062709,14,1038.59665
530.25487,16,1040.379442
516.713511,12,1042.057702
521.31643,13,1043.881197
520.570151,13,1045.67213
531.074686,16,1259.114399
519.077592,13,1260.739271
541.081301,18,1262.540349
525.604309,14,1264.218991
528.514792,15,1265.97437
527.644752,15,1487.649433
507.167125,9,1489.207017
533.076328,16,1490.946906
534.876457,17,1492.679657
520.197011,13,1494.358974
528.079772,15,1739.120796
516.030364,12,1740.804688
516.713511,12,1742.4086
536.165267,17,1744.125824
525.253039,14,1745.787302
517.738232,12,1994.135394
518.704452,13,1995.779533
529.819851,15,1997.522079
522.062709,14,1999.17128
530.609352,16,2001.030902
530.25487,16,2248.487889
520.59202,13,2250.118004
529.406036,16,2251.789201
518.726029,13,2253.415113
528.079772,15,2255.062896
512.921649,11,2504.502594
521.31643,13,2506.150887
526.774713,15,2507.831273
540.159828,18,2509.581275
511.791898,10,2511.156065
528.949811,15,2766.787763
522.062709,14,2768.425502
509.366472,10,2769.984282
508.877728,9,2771.518621
508.388985,9,2773.060606
533.401354,16,3040.861551
520.94329,13,3042.501143
514.16001,11,3044.073984
509.366472,10,3045.645105
516.030364,12,3047.249229
516.713511,12,3306.764532
523.582867,14,3308.414954
536.165267,17,3310.145813
510.683139,10,3311.719511
508.633357,9,3313.405411
523.582867,14,3576.894877
526.008597,15,3578.550469
517.396659,12,3580.130118
511.791898,10,3581.680861
529.819851,15,3583.350918
523.582867,14,3855.609516
526.339693,15,3857.251053
520.94329,13,3858.850567
507.655869,9,3860.37901
533.401354,16,3862.051279
516.030364,12,4133.272211
504.751683,7,4138.373004
530.723416,16,4140.072488
518.704452,13,4141.693169
512.302468,11,4143.277483
518.42138,13,4412.473235
514.779191,11,4414.214404
513.85042,11,4415.79938
533.866688,16,4417.554635
516.371937,12,4419.158661
523.582867,14,4695.390643
514.16001,11,4697.034675
520.570151,13,4698.711883
520.197011,13,4700.3799
518.42138,13,4702.03456
530.609352,16,4973.541229
532.470687,16,4975.282542
511.237519,10,4976.952584
512.302468,11,4978.575324
521.68957,13,4980.265339
521.68957,13,5256.28516
518.079806,12,5257.940515
515.088781,12,5259.58117
525.200021,14,5261.279504
534.797356,17,5263.038572
524.391444,14,5544.714102
512.069088,11,5546.321229
535.174806,17,5548.079721
519.450732,13,5549.764732
524.040174,14,5551.453816
523.582867,14,5826.276819
529.138437,15,5827.985162
518.704452,13,5829.638382
520.94329,13,5831.343995
534.797356,17,5833.10306
