#{"t_start": 1769854497.5812778, "env_id": "None"}
r,l,t
-92.247388,3,14.243648
-90.0,1,21.009905
-90.758396,2,28.90902
-91.600165,3,32.645771
-91.611803,3,39.241807
-91.664035,2,41.971785
-91.530854,4,44.671481
-90.31604,1,50.751039
-92.123794,4,58.379592
88.019344,5,61.545725
-90.389291,3,70.296804
87.948613,5,73.256975
-92.069741,4,75.980305
-90.91814,2,81.476571
-90.0,1,86.615133
-92.337932,3,92.143218
-90.985469,2,98.701511
-90.0,1,104.716398
86.012812,8,108.030129
-92.376978,4,111.051925
-91.964531,4,113.996744
-92.186952,3,119.67382
-91.147139,2,125.446646
-92.045505,3,128.389557
-92.17621,5,138.848082
-92.260834,3,147.000368
-91.773796,3,149.794848
