Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,3,-92.25,21.17,311.87,0
1,1,-90.00,0.00,0.00,0
2,2,-90.76,6.23,74.51,0
3,3,-91.60,22.00,311.87,0
4,3,-91.61,21.58,311.87,0
5,2,-91.66,16.81,221.62,0
6,4,-91.53,28.64,311.87,0
7,1,-90.32,9.96,47.46,0
8,4,-92.12,9.34,312.87,0
9,5,88.02,35.67,311.87,1
10,3,-90.39,4.15,75.51,0
11,5,87.95,35.44,311.87,1
12,4,-92.07,17.12,312.87,0
13,2,-90.92,16.19,195.33,0
14,1,-90.00,0.00,0.00,0
15,3,-92.34,23.24,311.87,0
16,2,-90.99,15.56,170.87,0
17,1,-90.00,0.00,0.00,0
18,8,86.01,17.74,624.97,1
19,4,-92.38,28.64,311.87,0
20,4,-91.96,17.12,312.87,0
21,3,-92.19,22.83,311.87,0
22,2,-91.15,15.56,170.87,0
23,3,-92.05,21.58,311.87,0
24,5,-92.18,14.19,331.83,0
25,3,-92.26,12.45,311.87,0
