Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,3,-90.38,7.80,2.00,0
1,2,-90.61,8.11,126.86,0
2,2,-90.34,34.30,-11.45,0
3,1,-90.00,0.00,0.00,0
4,5,-90.29,3.33,28.01,0
5,5,-91.16,4.33,71.97,0
6,14,88.07,11.83,-135.33,1
7,11,87.66,12.26,100.67,1
8,6,-92.03,22.82,220.38,0
9,5,88.58,41.81,252.59,1
10,2,-90.83,18.68,1.00,0
11,2,-90.62,34.71,95.07,0
12,3,-91.13,26.89,-33.34,0
13,2,-90.35,13.93,25.67,0
14,3,-90.73,11.10,35.33,0
15,1,-90.00,24.90,0.00,0
16,1,-90.00,0.00,0.00,0
17,1,-90.05,20.47,0.00,0
18,4,-90.84,23.53,2.00,0
19,8,-91.82,3.63,7.00,0
20,6,-91.66,16.43,12.18,0
21,5,-91.17,23.50,-84.43,0
22,1,-90.16,8.62,34.83,0
23,3,-90.51,19.83,1.00,0
24,3,-90.99,27.84,33.11,0
25,7,-91.95,13.52,14.22,0
26,8,-91.62,10.73,-78.82,0
27,2,-91.01,16.60,1.00,0
28,9,87.49,23.52,318.10,1
29,1,-90.00,0.00,0.00,0
30,6,-90.72,3.53,5.29,0
31,3,-90.97,8.30,2.00,0
32,7,-91.22,12.91,7.46,0
33,2,-90.29,16.46,21.04,0
34,3,-91.23,18.73,64.68,0
35,1,-90.00,0.00,0.00,0
36,8,-91.73,18.07,-181.38,0
37,4,-90.74,22.70,14.70,0
38,8,-91.64,5.13,18.69,0
39,1,-90.02,33.20,0.00,0
40,4,-90.89,10.38,2.00,0
41,2,-90.30,33.20,-45.78,0
42,5,-91.73,19.11,103.28,0
43,1,-90.25,4.15,0.00,0
44,1,-90.04,31.47,0.00,0
45,3,-90.51,12.28,20.58,0
46,3,-90.86,29.55,1.00,0
47,4,-90.86,4.64,3.00,0
48,11,86.55,16.37,143.16,1
49,3,-91.19,17.62,24.80,0
50,1,-90.00,0.00,0.00,0
51,1,-90.00,0.00,0.00,0
52,7,-91.29,1.77,33.49,0
53,3,-90.51,9.17,5.53,0
54,2,-90.40,12.54,2.68,0
55,14,-92.58,7.37,65.47,0
56,1,-90.00,0.00,0.00,0
57,12,87.24,15.71,171.99,1
58,1,-90.07,21.38,0.00,0
59,1,-90.03,37.12,0.00,0
60,1,-90.41,22.67,75.59,0
61,5,-91.23,4.56,80.66,0
62,1,-90.00,0.00,0.00,0
63,2,-90.87,6.30,76.75,0
64,4,88.18,46.96,304.07,1
65,1,-90.00,0.00,0.00,0
66,3,-91.53,45.41,213.15,0
67,11,-92.41,7.37,133.08,0
68,7,-91.55,18.83,-64.86,0
69,2,-90.50,13.41,13.94,0
70,1,-90.00,0.00,0.00,0
71,7,-93.56,34.59,607.17,0
72,1,-90.11,34.85,0.00,0
73,14,-92.60,15.99,-43.98,0
74,5,-90.65,3.59,31.64,0
75,2,-90.72,13.88,1.00,0
76,200,-43.13,0.00,199.35,0
77,3,-90.57,7.06,106.73,0
78,3,-91.56,20.10,343.90,0
79,2,-90.76,24.17,133.12,0
80,1,-90.00,0.00,0.00,0
81,6,-92.76,17.64,197.36,0
82,1,-90.00,0.00,0.00,0
83,1,-90.00,0.00,0.00,0
84,1,-90.00,0.00,0.00,0
85,1,-90.00,0.00,0.00,0
86,3,-90.46,13.57,1.00,0
87,1,-90.00,0.00,0.00,0
88,1,-90.00,0.00,0.00,0
89,1,-90.00,0.00,0.00,0
90,1,-90.00,0.00,0.00,0
91,3,-90.91,25.75,-33.34,0
92,4,-90.54,8.30,3.00,0
93,1,-90.00,0.00,0.00,0
94,1,-90.00,0.00,0.00,0
95,2,-90.66,6.00,1.00,0
96,1,-90.26,8.69,35.46,0
97,2,-90.89,8.30,1.00,0
98,7,-91.71,5.30,32.06,0
99,8,-92.01,9.33,-59.51,0
100,1,-90.00,0.00,0.00,0
101,3,-91.46,26.28,-10.45,0
