episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,1,49.893,4.058,12.223,0.000,0.000,1,goal
2,4,-203.910,0.338,16.502,0.048,0.201,0,collision
3,2,50.536,13.802,235.925,0.000,0.000,1,goal
4,2,50.613,13.683,212.269,0.000,0.084,1,goal
5,2,50.537,14.063,241.374,0.000,0.000,1,goal
6,3,51.382,20.018,313.530,0.000,0.000,1,goal
7,3,50.978,9.696,316.789,0.044,0.000,1,goal
8,4,-198.224,26.624,297.878,0.000,0.000,0,collision
9,3,50.936,19.935,299.185,0.000,0.006,1,goal
10,5,-197.323,32.403,292.864,0.000,0.022,0,collision
11,1,100.216,8.540,95.103,0.000,0.000,1,goal
12,2,50.446,12.321,186.109,0.000,0.027,1,goal
13,2,-199.442,14.587,292.844,0.000,0.178,0,collision
14,5,-47.078,32.944,307.391,0.000,0.000,1,goal
15,2,50.366,12.002,113.796,0.000,0.239,1,goal
16,1,50.033,6.268,40.236,0.000,0.000,1,goal
17,2,-199.722,12.616,138.231,0.000,0.240,0,collision
18,4,-197.681,26.958,290.951,0.000,0.242,0,collision
19,4,-198.462,26.610,308.759,0.000,0.313,0,collision
20,3,-198.747,20.286,287.727,0.000,0.299,0,collision
21,2,50.520,12.067,129.998,0.000,0.019,1,goal
22,2,-199.459,13.565,230.992,0.000,0.207,0,collision
23,1,49.936,5.124,21.332,0.000,0.000,1,goal
24,4,-198.342,26.700,310.931,0.000,0.156,0,collision
25,2,50.626,13.534,230.363,0.000,0.000,1,goal
26,3,51.003,19.234,314.701,0.000,0.011,1,goal
27,2,-199.496,13.464,188.125,0.000,0.433,0,collision
28,3,-198.898,19.465,287.938,0.000,0.190,0,collision
29,3,-198.549,20.846,301.128,0.000,0.000,0,collision
30,1,49.842,6.660,43.056,0.000,0.000,1,goal
31,3,-198.717,20.854,306.310,0.000,0.000,0,collision
32,2,50.412,12.560,171.995,0.000,0.050,1,goal
33,1,0.000,0.000,0.000,0.000,0.000,0,not_found
34,4,-197.850,27.941,310.835,0.000,0.000,0,collision
35,2,50.621,14.071,219.817,0.000,0.000,1,goal
36,1,49.894,2.093,3.577,0.000,0.000,1,goal
37,2,-199.661,12.284,117.642,0.000,0.259,0,collision
38,2,50.379,12.647,138.706,0.000,0.074,1,goal
39,1,0.000,0.000,0.000,0.000,0.000,0,not_found
40,2,-199.270,15.192,307.391,0.000,0.000,0,collision
41,2,50.416,12.584,137.750,0.000,0.003,1,goal
42,3,-199.095,10.215,303.042,0.140,0.432,0,collision
43,3,-198.698,20.650,301.407,0.000,0.089,0,collision
44,1,-200.256,6.315,33.773,0.000,0.546,0,collision
45,1,0.000,0.000,0.000,0.000,0.000,0,not_found
46,4,-201.182,5.824,278.264,0.186,0.038,0,collision
47,2,50.479,4.444,99.392,0.454,0.000,1,goal
48,2,-199.576,4.483,100.345,0.341,0.004,0,collision
49,1,0.000,0.000,0.000,0.000,0.000,0,not_found
50,1,50.019,7.700,67.635,0.000,0.000,1,goal
51,1,-199.990,7.419,64.909,0.000,0.000,0,collision
52,13,-53.927,16.514,624.095,0.000,0.000,1,goal
53,2,-199.273,14.689,302.763,0.000,0.000,0,collision
54,2,-199.427,15.255,308.897,0.000,0.000,0,collision
55,5,-47.331,21.501,313.798,0.200,0.000,1,goal
56,2,-199.165,15.012,303.050,0.000,0.000,0,collision
