Episode,Steps,Reward,AvgSpeed,Energy,Success
1,31,-95.34,0.00,0.00,0
2,97,-109.21,0.00,0.00,0
3,200,-38.61,0.00,1.00,0
4,31,-95.59,11.95,0.98,0
5,148,-118.60,0.00,0.00,0
6,61,-101.90,0.00,0.10,0
7,198,-130.89,0.00,0.00,0
8,1,-90.00,0.00,0.00,0
9,61,-104.66,0.00,0.10,0
10,1,-90.00,0.00,0.00,0
11,38,-98.66,0.00,0.00,0
12,141,-116.98,0.00,0.00,0
1,200,-39.23,0.00,1.00,0
1,183,-130.20,0.00,0.00,0
1,200,-44.08,0.00,1.00,0
1,5,-92.53,44.82,0.00,0
2,2,-90.87,16.19,52.73,0
3,3,-92.07,29.88,0.00,0
4,4,-92.13,43.58,0.00,0
5,3,-92.19,33.62,0.00,0
6,2,-90.07,0.00,0.00,0
7,2,-91.25,21.17,147.11,0
8,2,-90.76,14.94,33.49,0
9,5,87.71,53.28,0.00,1
10,2,-91.15,19.92,120.82,0
11,4,-92.09,0.00,0.00,0
12,1,-90.00,0.00,0.00,0
13,7,-93.51,26.15,0.00,0
14,1,-90.00,0.00,0.00,0
15,3,-91.73,33.62,0.00,0
16,2,-91.83,21.17,147.11,0
1,37,-97.80,0.00,0.00,0
2,155,-118.29,0.00,0.10,0
3,61,-101.47,0.00,0.10,0
4,200,-39.94,0.00,1.00,0
1,80,-103.32,0.00,0.00,0
2,71,-104.46,0.00,0.00,0
3,121,-117.14,0.00,0.30,0
4,61,-103.54,0.00,0.10,0
5,200,-44.73,0.00,1.00,0
6,31,-95.18,0.00,0.00,0
7,31,-98.42,0.00,0.00,0
1,1,-90.00,0.00,0.00,0
2,200,-44.66,0.00,1.00,0
3,64,74.60,25.13,8.32,1
4,2,-90.46,7.12,18.50,0
5,6,-91.91,0.00,0.00,0
6,9,-94.29,7.26,7.83,0
1,3,-90.43,0.00,0.00,0
2,1,-90.00,0.00,0.00,0
1,4,-92.17,43.58,0.00,0
2,2,-90.64,0.00,0.00,0
3,3,-91.66,36.11,0.00,0
4,4,-91.56,0.00,0.00,0
5,2,-90.75,16.19,52.73,0
6,4,-92.37,44.82,0.00,0
7,3,-91.71,27.39,0.00,0
8,3,-91.75,33.62,0.00,0
9,2,-91.43,18.68,96.35,0
10,2,-90.61,14.94,33.49,0
11,2,-91.17,19.92,120.82,0
12,4,-92.42,42.33,0.00,0
13,1,-90.45,8.72,36.29,0
14,4,-91.93,41.09,0.00,0
15,1,-90.18,6.23,18.53,0
16,1,-90.56,11.21,60.20,0
17,2,-90.96,17.43,73.67,0
18,3,-92.29,27.39,0.00,0
19,2,-91.54,22.41,175.26,0
20,2,-91.04,22.41,175.26,0
21,4,-92.06,43.58,0.00,0
22,3,-91.96,27.39,0.00,0
23,4,-92.08,47.31,0.00,0
24,3,-92.23,31.13,0.00,0
25,2,-91.37,22.41,175.26,0
26,2,-91.03,21.17,147.11,0
27,1,-90.00,0.00,0.00,0
28,3,-91.84,31.13,0.00,0
29,2,-90.82,14.94,33.49,0
30,2,-90.78,13.70,15.93,0
31,5,-92.23,52.12,0.00,0
32,5,87.51,50.96,0.00,1
33,2,-91.25,21.17,147.11,0
34,3,-91.68,0.00,0.00,0
35,5,87.85,52.70,0.00,1
36,4,-91.58,41.09,0.00,0
37,3,-92.22,26.15,0.00,0
38,8,-93.41,22.41,175.26,0
39,2,-90.62,16.19,52.73,0
40,3,-91.58,0.00,0.00,0
41,5,87.59,50.96,0.00,1
42,3,-91.63,0.00,0.00,0
43,4,-91.90,31.13,0.00,0
44,1,-90.44,9.96,47.46,0
45,3,-92.05,27.39,0.00,0
46,4,-91.49,0.00,0.00,0
47,5,87.65,52.12,0.00,1
48,1,-90.00,0.00,0.00,0
49,4,-92.35,48.56,0.00,0
50,8,-93.78,27.39,0.00,0
51,3,-92.15,28.64,0.00,0
52,2,-90.89,16.19,52.73,0
53,2,-90.96,19.92,120.82,0
54,5,86.70,50.38,0.00,1
55,3,-90.63,13.70,15.93,0
56,3,-91.49,27.39,0.00,0
57,5,87.21,52.70,0.00,1
58,4,-92.32,39.84,0.00,0
59,4,-91.68,0.00,0.00,0
60,3,-91.65,26.15,0.00,0
61,3,-92.11,36.11,0.00,0
62,3,-91.93,28.64,0.00,0
63,4,-92.37,32.37,0.00,0
64,2,-91.09,14.94,33.49,0
65,3,-91.65,26.15,0.00,0
66,2,-90.91,18.68,96.35,0
67,2,-90.93,16.19,52.73,0
68,3,-92.25,29.88,0.00,0
69,2,-91.32,16.19,52.73,0
70,3,-92.30,26.15,0.00,0
71,3,-91.86,26.15,0.00,0
72,2,-91.53,16.19,52.73,0
73,3,-91.82,32.37,0.00,0
74,2,-90.54,14.94,33.49,0
75,3,-91.74,31.13,0.00,0
76,2,-90.75,18.68,96.35,0
77,4,-91.76,47.31,0.00,0
78,9,-93.45,0.00,0.00,0
79,3,-91.34,0.00,0.00,0
80,7,-94.21,32.37,0.00,0
81,1,-90.00,0.00,0.00,0
82,4,-92.58,47.31,0.00,0
83,2,-90.63,14.94,33.49,0
84,4,-92.09,47.31,0.00,0
85,2,-91.67,21.17,147.11,0
86,3,-91.75,32.37,0.00,0
87,5,87.82,52.12,0.00,1
88,2,-91.19,21.17,147.11,0
89,2,-91.18,16.19,52.73,0
90,2,-90.77,14.94,33.49,0
91,4,-92.26,47.31,0.00,0
92,5,87.84,50.38,0.00,1
93,3,-92.03,28.64,0.00,0
94,2,-90.81,17.43,73.67,0
95,5,-92.28,50.38,0.00,0
96,3,-91.41,0.00,0.00,0
97,4,-92.66,32.37,0.00,0
98,1,-90.00,0.00,0.00,0
99,4,-92.37,38.60,0.00,0
100,3,-91.90,26.15,0.00,0
101,2,-90.65,13.70,15.93,0
102,3,-92.14,29.88,0.00,0
103,2,-91.42,21.17,147.11,0
104,2,-90.76,16.19,52.73,0
105,2,-91.56,21.17,147.11,0
106,2,-90.80,14.94,33.49,0
107,1,-90.69,11.21,60.20,0
108,2,-91.19,21.17,147.11,0
109,4,-92.07,0.00,0.00,0
110,2,-90.93,18.68,96.35,0
111,4,-92.48,47.31,0.00,0
112,3,-92.28,29.88,0.00,0
113,2,-90.44,0.00,0.00,0
114,2,-91.13,16.19,52.73,0
115,4,-92.13,41.09,0.00,0
116,3,-92.13,29.88,0.00,0
117,2,-91.34,23.66,205.33,0
118,5,88.26,52.12,0.00,1
119,2,-91.25,17.43,73.67,0
120,4,-92.03,0.00,0.00,0
121,2,-90.74,16.19,52.73,0
122,2,-91.73,21.17,147.11,0
123,2,-91.56,17.43,73.67,0
124,3,-92.49,32.37,0.00,0
125,4,-91.80,47.31,0.00,0
