Episode,Steps,Reward,AvgSpeed,Energy,Success
1,2,-90.29,33.52,0.00,0
2,1,-90.00,0.00,0.00,0
3,3,-90.76,52.90,0.00,0
4,2,-90.62,12.45,0.00,0
5,7,89.30,0.00,0.00,1
6,59,-62.56,0.00,1.00,False
7,2,-91.11,17.93,118.84,0
8,1,-90.24,10.00,46.15,0
9,1,-90.17,22.59,0.00,0
10,19,86.22,48.13,0.00,1
11,4,-90.90,8.70,0.00,0
12,1,-90.00,18.43,0.00,0
13,3,-91.00,20.75,0.00,0
14,9,-91.50,13.61,0.00,0
15,7,-91.92,18.89,0.00,0
16,4,-90.71,0.00,0.00,0
17,1,-90.16,5.74,0.00,0
18,1,-90.04,19.46,0.00,0
19,59,-61.56,0.00,1.00,False
20,2,-90.61,25.76,-45.78,0
21,4,-90.70,24.48,0.00,0
22,59,-61.81,0.00,1.00,False
23,55,-58.98,0.00,1.00,False
24,3,-90.66,37.35,0.00,0
25,1,-90.02,28.26,0.00,0
26,1,-90.02,23.12,0.00,0
27,1,-90.01,38.13,0.00,0
28,3,-89.96,30.30,-80.12,0
29,2,-90.66,21.36,0.00,0
30,2,-91.37,31.55,189.28,0
31,52,-61.93,0.00,1.00,False
32,2,-91.20,39.29,236.48,0
33,3,-90.32,23.98,0.00,0
34,4,-90.43,0.00,0.00,0
35,5,-90.79,44.32,0.00,0
36,3,-90.90,49.10,0.00,0
37,3,-90.56,15.38,0.00,0
38,1,-90.00,0.00,0.00,0
39,57,-62.90,0.00,1.00,False
40,1,-90.00,0.00,0.00,0
41,2,-90.38,0.00,0.00,0
42,3,-90.48,47.14,0.00,0
43,3,-91.14,26.06,-57.23,0
44,3,-90.90,8.05,30.30,0
45,2,-90.09,0.00,0.00,0
46,54,-59.73,0.00,1.00,False
47,1,-90.24,18.47,0.00,0
48,1,-90.00,18.11,0.00,0
49,57,-61.07,0.00,1.00,False
50,9,-91.62,11.54,63.14,0
51,6,-91.45,24.59,-91.56,0
52,5,-90.41,26.99,-68.04,0
53,4,-90.64,54.87,0.00,0
54,2,-90.47,27.65,0.00,0
55,1,-90.30,10.75,51.81,0
56,1,-90.00,0.00,0.00,0
57,3,-90.73,48.55,0.00,0
58,7,-90.61,26.51,0.00,0
59,1,-90.00,0.00,0.00,0
60,4,-90.95,38.63,0.00,0
61,1,-90.08,22.34,0.00,0
62,56,-61.91,0.00,1.00,False
63,6,-92.22,0.00,0.00,0
64,1,-90.35,11.91,65.56,0
65,1,-90.00,0.00,0.00,0
66,6,-91.56,47.21,0.00,0
67,3,-90.96,15.31,43.09,0
68,1,-90.23,26.68,0.00,0
69,3,-90.59,38.16,0.00,0
70,51,-61.04,0.00,1.00,False
71,1,-90.00,6.15,0.00,0
72,4,87.86,33.36,-45.78,1
73,10,88.29,39.34,-22.89,1
74,6,-91.51,33.20,0.00,0
75,5,-91.02,4.15,0.00,0
76,5,-90.75,9.30,0.00,0
77,1,-90.00,26.98,0.00,0
78,5,-91.12,51.84,0.00,0
79,2,-90.89,20.75,0.00,0
80,1,-90.04,18.96,0.00,0
81,2,-91.17,13.43,86.24,0
82,9,88.86,22.31,0.00,1
83,9,-92.37,41.37,0.00,0
84,2,-90.04,41.32,0.00,0
85,1,-90.22,2.93,2.87,0
86,6,-91.52,21.60,17.83,0
87,17,-94.16,40.27,0.00,0
88,62,-64.91,0.00,1.00,False
89,2,-90.27,31.29,0.00,0
90,57,-61.92,0.00,1.00,False
91,1,-90.12,20.24,6.87,0
92,8,-91.10,7.30,-19.05,0
93,5,89.00,55.60,92.33,1
94,4,-90.83,55.60,23.08,0
95,4,-91.16,13.95,3.35,0
96,3,-90.75,47.58,0.00,0
97,2,-91.05,26.81,111.33,0
98,4,-91.02,34.88,0.00,0
99,1,-90.47,13.84,89.88,0
100,1,-90.17,31.22,0.00,0
101,8,-91.47,20.75,0.00,0
102,3,-90.73,42.91,0.00,0
103,1,-90.15,37.40,0.00,0
104,3,-91.70,55.60,138.50,0
105,1,-90.13,17.56,0.00,0
106,1,-90.01,14.60,0.00,0
107,2,-90.15,53.14,0.00,0
108,5,-91.28,53.90,2.43,0
109,1,-90.27,39.61,0.00,0
110,4,90.18,0.00,0.00,1
111,3,-90.25,34.61,-80.12,0
112,3,-90.66,0.00,0.00,0
113,3,-90.66,24.90,0.00,0
114,3,-90.63,12.45,0.00,0
115,1,-90.05,27.32,0.00,0
116,54,-63.13,0.00,1.00,False
117,1,-90.39,12.25,69.54,0
118,2,-90.47,0.00,0.00,0
119,2,-90.87,21.05,82.87,0
120,2,-90.73,0.00,0.00,0
121,8,88.12,37.97,-11.45,1
122,2,-90.54,44.74,0.00,0
123,1,-90.00,0.00,0.00,0
124,5,-91.69,9.85,46.19,0
125,4,-90.92,17.40,0.00,0
126,2,-90.62,8.30,0.00,0
127,55,-63.30,0.00,1.00,False
128,10,-93.16,24.85,-22.89,0
129,2,-90.82,25.95,0.00,0
130,13,-92.89,24.90,0.00,0
131,3,-90.08,0.00,0.00,0
132,7,-92.08,55.60,69.25,0
133,4,-90.87,0.00,0.00,0
134,5,-90.97,5.05,11.80,0
135,10,-91.98,25.66,73.44,0
136,12,-92.71,55.60,92.33,0
137,2,-90.31,40.82,-11.45,0
138,5,-91.28,18.88,103.47,0
139,2,-90.12,46.09,0.00,0
140,3,-90.52,42.91,0.00,0
141,3,-90.97,33.20,0.00,0
142,4,-91.02,42.57,0.00,0
143,2,-90.31,42.98,16.53,0
144,4,-91.12,12.45,0.00,0
145,1,-90.00,9.62,0.00,0
146,3,-90.76,37.35,0.00,0
147,1,-90.33,0.48,0.15,0
148,63,-61.48,0.00,1.00,False
149,54,-58.85,0.00,1.00,False
150,7,-90.82,44.49,0.00,0
151,2,-90.15,38.94,0.00,0
152,1,-90.15,7.17,22.15,0
153,4,-90.76,12.08,-9.11,0
154,52,-61.85,0.00,1.00,False
155,4,-90.81,22.23,0.00,0
156,7,-91.54,28.46,67.96,0
157,7,-91.05,48.42,0.00,0
158,54,-62.43,0.00,1.00,False
159,1,-90.09,39.84,0.00,0
160,6,-91.66,33.20,0.00,0
161,2,-90.54,44.44,0.00,0
162,2,-91.00,24.86,0.00,0
163,2,-90.25,40.39,-4.10,0
164,5,-90.73,19.39,0.00,0
165,6,-91.47,26.09,-91.56,0
166,2,-90.99,22.15,32.04,0
167,57,-60.67,0.00,1.00,False
168,1,-90.00,0.00,0.00,0
169,2,-90.75,6.89,-51.46,0
170,1,-90.50,26.84,0.00,0
171,8,-91.45,16.60,0.00,0
172,2,-90.70,0.00,0.00,0
173,53,-61.37,0.00,1.00,False
174,6,-91.81,21.44,17.42,0
175,1,-90.00,0.00,0.00,0
176,1,-90.00,0.00,0.00,0
177,3,-90.76,20.75,0.00,0
178,1,-90.50,1.35,0.01,0
179,2,-91.20,15.12,-11.36,0
180,52,-60.87,0.00,1.00,False
181,2,-90.72,20.75,0.00,0
182,1,-90.00,0.00,0.00,0
183,1,-90.35,11.05,55.32,0
184,58,-63.30,0.00,1.00,False
185,2,-90.96,21.50,0.00,0
186,60,-63.62,0.00,1.00,False
187,3,-90.63,29.82,-22.89,0
188,9,-91.20,33.49,0.00,0
189,4,-91.36,31.00,0.00,0
190,1,-90.00,0.00,0.00,0
191,4,-91.04,12.45,0.00,0
192,3,-90.74,0.00,0.00,0
193,2,-90.06,0.00,0.00,0
