Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
0,3,-5.86,17.55,64.80,False
1,6,-23.43,6.85,15.47,False
2,9,2.33,12.07,310.76,True
3,1,-8.48,41.50,83.39,False
4,4,18.55,29.06,294.24,True
5,2,-14.57,20.75,11.42,False
6,13,15.88,23.84,879.53,True
7,2,-14.28,20.75,32.27,False
8,5,-22.92,14.81,19.60,False
9,4,-17.23,1.59,6.47,False
10,4,5.86,27.81,186.62,True
11,4,-5.70,30.16,164.50,False
12,3,19.26,50.26,383.28,True
13,10,-7.55,13.92,194.73,False
14,3,21.79,40.23,223.46,True
15,4,21.34,47.32,646.96,True
16,10,-0.05,15.50,181.39,True
17,8,10.33,22.36,416.41,True
18,4,-13.57,14.48,21.39,False
19,9,-29.44,9.42,105.97,False
20,8,-26.82,8.62,78.90,False
21,7,2.89,12.86,155.10,True
22,6,-17.87,10.49,114.12,False
23,7,-10.05,22.44,242.69,False
24,4,19.39,33.29,254.36,True
25,5,3.08,12.10,87.39,True
26,16,-12.49,7.79,194.24,True
27,6,3.30,16.36,155.52,True
28,4,20.41,48.37,530.97,True
29,7,18.42,27.41,492.36,True
30,12,-33.91,5.33,145.81,False
31,3,-11.59,16.67,39.24,False
32,6,-11.49,24.54,262.41,False
33,8,-22.07,5.47,240.22,False
34,5,-24.44,8.30,35.27,False
35,11,-36.43,4.81,99.16,False
36,7,-17.32,18.03,150.61,False
37,3,9.85,32.37,117.90,True
38,10,-9.07,8.88,204.70,True
39,10,-12.67,8.86,92.76,False
40,9,-28.55,2.54,40.17,False
41,6,-10.02,4.57,200.28,False
42,9,-34.48,3.46,50.44,False
43,14,-20.61,15.64,375.28,False
44,1,-8.46,39.12,62.82,False
45,5,20.74,28.97,394.84,True
46,13,-31.58,9.26,227.44,False
47,10,-29.78,7.44,33.93,False
48,9,-26.60,9.28,147.33,False
49,8,-16.34,9.82,77.25,False
50,9,-8.36,20.68,405.54,False
51,6,6.39,17.11,126.55,True
52,6,33.30,42.18,842.88,True
53,11,-8.19,9.86,126.40,True
54,5,4.85,23.52,158.70,True
55,4,14.18,26.70,200.80,True
56,11,9.31,22.08,627.03,True
57,7,-24.10,13.22,70.69,False
58,8,7.57,15.70,356.49,True
59,7,-17.42,16.04,322.02,False
60,5,-11.19,20.87,155.56,False
61,7,-26.85,12.31,136.63,False
62,9,-23.93,7.11,130.81,False
63,5,10.64,16.60,195.29,True
64,4,-2.29,40.31,311.69,False
65,6,5.12,15.51,149.16,True
66,6,-20.13,9.59,71.14,False
67,27,-73.33,3.55,159.31,False
68,4,13.92,37.44,323.15,True
69,22,-55.63,3.85,128.80,False
70,5,12.49,24.69,183.60,True
71,7,-12.49,21.11,184.50,False
72,4,-12.65,10.50,38.86,False
73,13,-35.80,4.71,60.39,False
74,3,16.19,40.40,146.66,True
75,6,3.90,17.15,121.03,True
76,4,19.62,38.24,244.35,True
77,4,-19.04,13.79,37.97,False
78,8,-16.79,17.57,117.54,False
79,9,-17.47,4.31,35.61,False
80,7,-21.06,4.07,64.09,False
81,3,-15.44,12.41,17.87,False
82,6,-13.91,15.03,74.11,False
83,4,-3.26,25.82,294.46,False
84,7,-17.39,4.53,55.14,False
85,7,-16.77,6.48,190.53,False
86,4,17.66,37.16,385.39,True
87,6,7.30,17.89,113.37,True
88,4,-20.03,9.19,9.33,False
89,10,-29.91,7.23,118.02,False
90,3,24.76,50.90,416.97,True
91,3,-16.56,17.03,59.78,False
92,3,25.06,48.28,298.88,True
93,4,-8.31,27.50,79.60,False
94,4,-14.11,20.75,105.12,False
95,8,9.98,13.85,131.95,True
96,10,-3.67,11.74,239.14,True
97,4,19.15,35.29,436.34,True
98,11,-38.53,1.20,14.03,False
99,16,-38.38,4.63,156.34,True
100,7,-32.16,6.33,13.04,False
101,4,10.52,30.53,126.55,True
102,8,3.19,8.71,126.08,True
103,6,19.76,34.05,628.67,True
104,8,-29.80,2.06,29.80,False
105,5,-22.78,8.08,29.24,False
106,6,-9.89,13.83,117.54,False
107,4,20.31,41.74,361.29,True
108,10,-7.86,10.03,160.59,True
109,6,7.32,14.68,93.12,True
110,7,-24.32,5.21,65.16,False
111,4,-12.42,11.08,37.29,False
112,8,4.65,16.15,177.32,True
113,5,-13.79,18.49,75.72,False
114,17,12.68,11.14,295.62,True
115,15,-20.33,7.03,207.20,True
116,11,6.86,11.52,309.96,True
117,3,-16.96,4.55,5.49,False
118,8,2.05,18.33,348.38,True
119,5,-18.08,3.76,18.94,False
120,8,-17.97,12.14,132.18,False
121,7,-21.54,17.76,189.36,False
122,3,-17.95,9.95,6.73,False
123,9,1.78,13.38,180.40,True
124,6,-18.44,4.17,62.19,False
125,5,16.32,27.72,531.35,True
126,13,-22.05,10.86,179.96,True
127,2,16.63,36.89,102.81,True
128,7,-19.99,16.21,165.96,False
129,14,-14.70,9.51,152.16,True
130,7,4.79,15.91,264.76,True
131,5,-23.84,0.00,4.00,False
132,11,-28.81,9.87,232.55,False
133,13,-44.32,4.27,47.60,False
134,4,14.97,23.47,273.74,True
135,3,10.29,30.39,158.37,True
136,16,-50.03,4.93,192.38,False
137,3,14.78,42.75,314.67,True
138,8,-20.29,12.24,74.00,False
139,11,-37.73,6.54,166.12,False
140,8,3.46,14.41,64.53,True
141,31,-72.14,4.03,130.23,False
142,6,8.68,20.30,270.21,True
143,7,10.01,19.53,146.55,True
144,8,-3.64,17.32,181.08,True
145,2,13.99,46.17,253.81,True
146,4,-11.89,19.37,79.93,False
147,5,-20.50,7.55,9.57,False
148,10,-38.52,5.76,21.80,False
149,1,14.48,36.16,51.73,True
150,2,16.20,48.55,186.14,True
151,7,-22.19,10.87,118.13,False
152,7,14.56,22.66,204.20,True
153,10,-29.33,0.00,19.73,False
154,9,-6.19,10.57,227.87,True
155,6,-27.70,6.92,36.27,False
156,5,-19.91,11.12,14.40,False
157,4,-9.14,32.38,328.12,False
158,7,10.98,21.72,316.93,True
159,10,-17.76,11.46,183.65,False
160,3,19.03,34.11,152.71,True
161,5,15.27,17.44,229.64,True
162,5,-17.44,16.60,85.27,False
163,3,-10.79,24.21,38.65,False
164,15,-21.40,7.64,208.51,True
165,3,-14.69,21.37,58.46,False
166,2,-12.22,20.75,53.12,False
167,7,13.82,20.43,229.72,True
168,22,-36.03,8.22,241.99,True
169,5,12.18,16.49,134.42,True
170,8,-30.61,5.19,38.27,False
171,3,-12.89,10.07,16.56,False
172,12,-27.48,9.10,189.01,False
